int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
135,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.7588702158275559,49164016.195099354,25340.333333333143,7845.489276931737,0.9969044814178545,0.3096048174951051
136,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.6214465028083476,42431150.861765586,20184.999999999785,7845.4892769317385,0.9969044814178548,0.38867918141847035
137,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.6270176494413133,39364009.86176631,17836.49999999997,7845.489276931738,0.9969044814178546,0.4398558728972472
138,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.5735481821951951,40975396.19509913,19070.333333333176,7845.4892769317275,0.9969044814178534,0.411397595406397
139,date ('2024-01-01 23:55:00'),50,30,6,10,180,2,true,false,0.5971116046753454,45087542.238582,22236.49999999973,7834.328894704527,0.9954863627175516,0.352318435666792
140,date ('2024-01-01 23:55:00'),50,30,6,10,180,4,true,false,0.5336492168934296,41949545.75549186,19785.333333333165,7865.186475756923,0.9938434296976374,0.3975261039704658
141,date ('2024-01-01 23:55:00'),50,30,6,10,180,4,true,false,0.6969548899991937,42954609.07959091,20579.16666666643,7849.723806535758,0.9918895698294181,0.38144031455124583
142,date ('2024-01-01 23:55:00'),50,30,6,10,180,4,true,false,0.680949554626828,42080677.41292449,19909.99999999984,7849.723806535758,0.9918895698294181,0.39426036195559117
143,date ('2024-01-01 23:55:00'),50,30,6,10,180,4,true,false,0.7315350158471661,43414877.755491726,20907.333333333103,7865.18647575691,0.9938434296976357,0.37619271431508866
144,date ('2024-01-01 23:55:00'),50,30,6,10,180,4,true,false,0.5656593698464751,41058297.07959098,19127.16666666648,7849.7238065357615,0.9918895698294186,0.41039658112122407
